software mouseReMoCo;version 1.3.0;isWithLSL false;screenWidth 1902;screenHeight 973;centerX 951;centerY 486;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 545;cornerY 80;externalRadius 406;internalRadius 326;borderRadius 1;cursorRadius 16;indexOfDifficulty 48.86179212285402;taskRadius 365.5;taskTolerance 47
2025-11-24 02:22:12.357 +0100

timestamp,mouseX,mouseY,mouseInTarget
1763947464176,760,192,1
1763947464179,762,191,1
1763947464193,765,188,1
1763947464193,768,188,1
1763947464208,773,186,1
1763947464211,776,185,1
1763947464223,779,182,1
1763947464226,783,181,1
1763947464240,786,179,1
1763947464243,787,178,1
1763947464255,789,178,1
1763947464258,793,176,1
1763947464271,796,174,1
1763947464275,800,174,1
1763947464287,806,172,1
1763947464291,811,171,1
1763947464303,817,170,1
1763947464307,826,168,0
1763947464319,830,168,0
1763947464323,837,167,0
1763947464335,844,166,0
1763947464338,849,165,0
1763947464351,856,164,0
1763947464355,863,162,0
1763947464360,869,160,0
1763947464370,876,159,0
1763947464383,884,158,0
1763947464387,889,158,0
1763947464398,896,157,0
1763947464403,902,157,0
1763947464415,911,155,0
1763947464418,918,154,0
1763947464432,926,154,0
1763947464435,932,154,0
1763947464443,938,154,0
1763947464451,946,153,0
1763947464464,952,153,0
1763947464467,959,153,0
1763947464480,964,152,0
1763947464483,968,152,0
1763947464496,973,151,0
1763947464499,976,151,0
1763947464516,982,150,0
1763947464518,988,149,0
1763947464532,993,148,0
1763947464535,1018,146,1
1763947464543,1026,144,1
1763947464550,1031,144,1
1763947464564,1037,144,1
1763947464567,1041,144,1
1763947464579,1047,143,1
1763947464583,1052,142,1
1763947464591,1058,141,1
1763947464599,1063,141,1
1763947464611,1070,140,1
1763947464616,1075,139,1
1763947464628,1077,139,1
1763947464631,1081,139,1
1763947464642,1083,139,1
1763947464647,1087,139,1
1763947464659,1089,139,1
1763947464663,1092,139,1
1763947464674,1095,139,1
1763947464679,1099,139,1
1763947464691,1101,139,1
1763947464693,1107,139,1
1763947464708,1113,139,1
1763947464710,1119,140,1
1763947464725,1123,142,1
1763947464728,1129,142,1
1763947464738,1133,144,1
1763947464743,1138,145,1
1763947464756,1142,146,0
1763947464759,1144,147,0
1763947464772,1148,149,0
1763947464775,1154,151,0
1763947464787,1160,153,0
1763947464790,1166,155,0
1763947464804,1172,158,0
1763947464807,1176,161,0
1763947464820,1178,162,0
1763947464822,1183,165,0
1763947464835,1186,166,0
1763947464838,1189,168,0
1763947464852,1191,170,0
1763947464855,1192,171,0
1763947464868,1193,172,0
1763947464871,1194,173,0
1763947464884,1195,173,0
1763947464887,1195,174,0
1763947464900,1195,175,0
1763947464903,1196,176,0
1763947464916,1197,178,0
1763947464919,1199,180,0
1763947464931,1200,183,0
1763947464935,1201,185,0
1763947464947,1203,190,1
1763947464950,1204,192,1
1763947464964,1205,194,1
1763947464967,1206,196,1
1763947464979,1209,201,1
1763947464983,1212,207,1
